FunctionName,Method,NumIntervals,Result,AbsoluteError,ExecutionTime_ms
x^2,1. Left Rectangle,100,0.328350000000,4.983333333333e-03,0.0010
x^2,2. Right Rectangle,100,0.338350000000,5.016666666667e-03,0.0000
x^2,3. Midpoint Rule,100,0.333325000000,8.333333333332e-06,0.0010
x^2,4. Trapezoidal Rule,100,0.333350000000,1.666666666672e-05,0.0000
x^2,5. Simpson's 1/3 Rule,100,0.333333333333,1.110223024625e-16,0.0000
x^2,6. Simpson's 3/8 Rule,102,0.333333333333,5.551115123126e-17,0.0010
x^2,7. Monte Carlo,100,0.352287061825,1.895372849146e-02,0.0010
x^2,1. Left Rectangle,1000,0.332833500000,4.998333333334e-04,0.0030
x^2,2. Right Rectangle,1000,0.333833500000,5.001666666666e-04,0.0020
x^2,3. Midpoint Rule,1000,0.333333250000,8.333333334498e-08,0.0020
x^2,4. Trapezoidal Rule,1000,0.333333500000,1.666666666345e-07,0.0030
x^2,5. Simpson's 1/3 Rule,1000,0.333333333333,0.000000000000e+00,0.0020
x^2,6. Simpson's 3/8 Rule,1002,0.333333333333,1.110223024625e-16,0.0020
x^2,7. Monte Carlo,1000,0.343090847948,9.757514614469e-03,0.0050
x^2,1. Left Rectangle,10000,0.333283335000,4.999833333497e-05,0.0210
x^2,2. Right Rectangle,10000,0.333383335000,5.000166666502e-05,0.0220
x^2,3. Midpoint Rule,10000,0.333333332500,8.333345680178e-10,0.0230
x^2,4. Trapezoidal Rule,10000,0.333333335000,1.666665028210e-09,0.0210
x^2,5. Simpson's 1/3 Rule,10000,0.333333333333,3.885780586188e-16,0.0210
x^2,6. Simpson's 3/8 Rule,10002,0.333333333333,9.436895709314e-16,0.0220
x^2,7. Monte Carlo,10000,0.328935874188,4.397459144919e-03,0.0490
x^2,1. Left Rectangle,100000,0.333328333350,4.999983333698e-06,0.2120
x^2,2. Right Rectangle,100000,0.333338333350,5.000016666312e-06,0.2070
x^2,3. Midpoint Rule,100000,0.333333333325,8.340494961345e-12,0.2010
x^2,4. Trapezoidal Rule,100000,0.333333333350,1.666627946761e-11,0.2010
x^2,5. Simpson's 1/3 Rule,100000,0.333333333333,3.275157922644e-15,0.2000
x^2,6. Simpson's 3/8 Rule,100002,0.333333333333,1.665334536938e-16,0.2040
x^2,7. Monte Carlo,100000,0.333603638323,2.703049898155e-04,0.4650
x^2,1. Left Rectangle,1000000,0.333332833334,4.999998330368e-07,2.1390
x^2,2. Right Rectangle,1000000,0.333333833334,5.000001669919e-07,2.0930
x^2,3. Midpoint Rule,1000000,0.333333333333,8.365530490551e-14,2.0400
x^2,4. Trapezoidal Rule,1000000,0.333333333334,1.669775429036e-13,2.1110
x^2,5. Simpson's 1/3 Rule,1000000,0.333333333333,8.215650382226e-15,2.1510
x^2,6. Simpson's 3/8 Rule,1000002,0.333333333333,7.216449660064e-16,2.2580
x^2,7. Monte Carlo,1000000,0.333430931498,9.759816446453e-05,5.5790
sin(x),1. Left Rectangle,100,1.999835503887,1.644961125564e-04,0.0110
sin(x),2. Right Rectangle,100,1.999835503887,1.644961125564e-04,0.0010
sin(x),3. Midpoint Rule,100,2.000082249071,8.224907098642e-05,0.0010
sin(x),4. Trapezoidal Rule,100,1.999835503887,1.644961125564e-04,0.0020
sin(x),5. Simpson's 1/3 Rule,100,2.000000010825,1.082450440393e-08,0.0010
sin(x),6. Simpson's 3/8 Rule,102,2.000000022503,2.250281783134e-08,0.0020
sin(x),7. Monte Carlo,100,2.180572342834,1.805723428336e-01,0.0020
sin(x),1. Left Rectangle,1000,1.999998355066,1.644934337630e-06,0.0080
sin(x),2. Right Rectangle,1000,1.999998355066,1.644934337630e-06,0.0090
sin(x),3. Midpoint Rule,1000,2.000000822467,8.224672676249e-07,0.0090
sin(x),4. Trapezoidal Rule,1000,1.999998355066,1.644934337630e-06,0.0080
sin(x),5. Simpson's 1/3 Rule,1000,2.000000000001,1.078692690726e-12,0.0080
sin(x),6. Simpson's 3/8 Rule,1002,2.000000000002,2.416733480004e-12,0.0090
sin(x),7. Monte Carlo,1000,2.017406916253,1.740691625329e-02,0.0250
sin(x),1. Left Rectangle,10000,1.999999983551,1.644933922407e-08,0.0850
sin(x),2. Right Rectangle,10000,1.999999983551,1.644933922407e-08,0.0850
sin(x),3. Midpoint Rule,10000,2.000000008225,8.224676051327e-09,0.0840
sin(x),4. Trapezoidal Rule,10000,1.999999983551,1.644933922407e-08,0.0800
sin(x),5. Simpson's 1/3 Rule,10000,2.000000000000,1.132427485118e-14,0.0810
sin(x),6. Simpson's 3/8 Rule,10002,2.000000000000,8.881784197001e-15,0.0920
sin(x),7. Monte Carlo,10000,1.986786438109,1.321356189123e-02,0.2310
sin(x),1. Left Rectangle,100000,1.999999999835,1.645208413947e-10,0.8130
sin(x),2. Right Rectangle,100000,1.999999999835,1.645208413947e-10,0.8130
sin(x),3. Midpoint Rule,100000,2.000000000082,8.225731207290e-11,0.8830
sin(x),4. Trapezoidal Rule,100000,1.999999999835,1.645208413947e-10,0.8190
sin(x),5. Simpson's 1/3 Rule,100000,2.000000000000,2.664535259100e-15,0.7990
sin(x),6. Simpson's 3/8 Rule,100002,2.000000000000,4.440892098501e-15,0.8540
sin(x),7. Monte Carlo,100000,2.002060333617,2.060333616675e-03,2.1910
sin(x),1. Left Rectangle,1000000,1.999999999998,1.592281861917e-12,7.9930
sin(x),2. Right Rectangle,1000000,1.999999999998,1.592281861917e-12,7.9670
sin(x),3. Midpoint Rule,1000000,2.000000000001,8.313350008393e-13,8.2900
sin(x),4. Trapezoidal Rule,1000000,1.999999999998,1.592281861917e-12,7.8270
sin(x),5. Simpson's 1/3 Rule,1000000,2.000000000000,6.883382752676e-14,7.9080
sin(x),6. Simpson's 3/8 Rule,1000002,2.000000000000,2.753353101070e-14,8.4320
sin(x),7. Monte Carlo,1000000,1.997557305502,2.442694497937e-03,21.6750
exp(-x^2),1. Left Rectangle,100,0.749978604262,3.154471450112e-03,0.0030
exp(-x^2),2. Right Rectangle,100,0.743657398674,3.166734138173e-03,0.0010
exp(-x^2),3. Midpoint Rule,100,0.746827198492,3.065680319936e-06,0.0010
exp(-x^2),4. Trapezoidal Rule,100,0.746818001468,6.131344030269e-06,0.0010
exp(-x^2),5. Simpson's 1/3 Rule,100,0.746824132894,8.217582170289e-11,0.0010
exp(-x^2),6. Simpson's 3/8 Rule,102,0.746824132982,1.703516216978e-10,0.0010
exp(-x^2),7. Monte Carlo,100,0.728569183806,1.825494900596e-02,0.0020
exp(-x^2),1. Left Rectangle,1000,0.747140131779,3.159989665985e-04,0.0080
exp(-x^2),2. Right Rectangle,1000,0.746508011220,3.161215922302e-04,0.0080
exp(-x^2),3. Midpoint Rule,1000,0.746824163469,3.065704901051e-08,0.0080
exp(-x^2),4. Trapezoidal Rule,1000,0.746824071499,6.131281571342e-08,0.0080
exp(-x^2),5. Simpson's 1/3 Rule,1000,0.746824132812,4.364286709801e-13,0.0080
exp(-x^2),6. Simpson's 3/8 Rule,1002,0.746824132812,4.451994328747e-13,0.0080
exp(-x^2),7. Monte Carlo,1000,0.743706496857,3.117635954966e-03,0.0100
exp(-x^2),1. Left Rectangle,10000,0.746855738227,3.160541523528e-05,0.0790
exp(-x^2),2. Right Rectangle,10000,0.746792526171,3.160664064750e-05,0.0750
exp(-x^2),3. Midpoint Rule,10000,0.746824133119,3.069910992082e-10,0.0780
exp(-x^2),4. Trapezoidal Rule,10000,0.746824132199,6.127061080718e-10,0.0760
exp(-x^2),5. Simpson's 1/3 Rule,10000,0.746824132812,4.259925745487e-13,0.0750
exp(-x^2),6. Simpson's 3/8 Rule,10002,0.746824132812,4.279909759930e-13,0.0810
exp(-x^2),7. Monte Carlo,10000,0.747412064130,5.879313184907e-04,0.0970
exp(-x^2),1. Left Rectangle,100000,0.746827293409,3.160597081053e-06,0.8560
exp(-x^2),2. Right Rectangle,100000,0.746820972203,3.160608506914e-06,0.7550
exp(-x^2),3. Midpoint Rule,100000,0.746824132815,3.488653810280e-12,0.7780
exp(-x^2),4. Trapezoidal Rule,100000,0.746824132806,5.712985640116e-12,0.7540
exp(-x^2),5. Simpson's 1/3 Rule,100000,0.746824132812,4.308775558570e-13,0.7530
exp(-x^2),6. Simpson's 3/8 Rule,100002,0.746824132812,4.349853810481e-13,0.8080
exp(-x^2),7. Monte Carlo,100000,0.746617823923,2.063088886713e-04,0.9740
exp(-x^2),1. Left Rectangle,1000000,0.746824448873,3.160606629748e-07,8.2270
exp(-x^2),2. Right Rectangle,1000000,0.746823816752,3.160598959218e-07,7.6580
exp(-x^2),3. Midpoint Rule,1000000,0.746824132812,4.772848782864e-13,7.8870
exp(-x^2),4. Trapezoidal Rule,1000000,0.746824132812,3.836930773105e-13,7.5980
exp(-x^2),5. Simpson's 1/3 Rule,1000000,0.746824132812,4.123368313458e-13,7.5440
exp(-x^2),6. Simpson's 3/8 Rule,1000002,0.746824132812,4.182210133763e-13,8.0590
exp(-x^2),7. Monte Carlo,1000000,0.746807824465,1.630834650890e-05,9.8430
